Data,Status,Mensagem
2022-01-01,Ignorado,Preciso que resolvam um problema. Estou bem chateado.
2022-01-20,Fechado,Pior negócio que ja vi. Nunca mais compro de vocês!
2022-01-31,Pendente,Nunca mais compro de vocês! ótima empresa.
2022-01-13,Fechado,Preciso que resolvam um problema. Você poderia nos mandar seus dados?
2022-01-01,Fechado,Nunca mais compro de vocês! Pior negócio que ja vi.
2022-01-13,Ignorado,"Pior negócio que ja vi. Olá, como vai?"
2022-01-14,Fechado,Nunca mais compro de vocês! Preciso que resolvam um problema.
2022-01-06,Ignorado,"Olá, como vai? Estou bem chateado."
2022-01-20,Fechado,Preciso que resolvam um problema. ótima empresa.
2022-01-09,Em Espera,Gostaria de fazer um pedido. Você poderia nos mandar seus dados?
2022-01-07,Ignorado,"Olá, como vai? Gostaria de fazer um pedido."
2022-01-08,Fechado,Gostaria de fazer um pedido. Nunca mais compro de vocês!
2022-01-22,Em Espera,Preciso que resolvam um problema. Estou bem chateado.
2022-01-09,Aberto,Gostaria de fazer um pedido. ótima empresa.
2022-01-13,Pendente,"Olá, como vai? Pior negócio que ja vi."
2022-01-17,Ignorado,"Olá, como vai? Você poderia nos mandar seus dados?"
2022-01-17,Ignorado,Você poderia nos mandar seus dados? Pior negócio que ja vi.
2022-01-11,Respondido,Pior negócio que ja vi. Nunca mais compro de vocês!
2022-01-21,Fechado,Preciso que resolvam um problema. ótima empresa.
2022-01-30,Aberto,Você poderia nos mandar seus dados? Gostaria de fazer um pedido.
2022-01-11,Em Espera,"Preciso que resolvam um problema. Olá, como vai?"
2022-01-03,Fechado,Estou bem chateado. Gostaria de fazer um pedido.
2022-01-09,Fechado,Pior negócio que ja vi. Nunca mais compro de vocês!
2022-01-13,Ignorado,Nunca mais compro de vocês! ótima empresa.
2022-01-25,Aberto,"Gostaria de fazer um pedido. Olá, como vai?"
2022-01-12,Aberto,Nunca mais compro de vocês! Gostaria de fazer um pedido.
2022-01-25,Em Espera,Você poderia nos mandar seus dados? Preciso que resolvam um problema.
2022-01-08,Aberto,Estou bem chateado. Gostaria de fazer um pedido.
2022-01-29,Respondido,"Olá, como vai? Você poderia nos mandar seus dados?"
2022-01-23,Em Espera,"Nunca mais compro de vocês! Olá, como vai?"
2022-01-14,Pendente,Gostaria de fazer um pedido. ótima empresa.
2022-01-20,Respondido,Você poderia nos mandar seus dados? Gostaria de fazer um pedido.
2022-01-16,Fechado,Estou bem chateado. Preciso que resolvam um problema.
2022-01-13,Ignorado,Nunca mais compro de vocês! Estou bem chateado.
2022-01-16,Em Espera,Estou bem chateado. Nunca mais compro de vocês!
2022-01-15,Ignorado,ótima empresa. Nunca mais compro de vocês!
2022-01-10,Fechado,Estou bem chateado. Gostaria de fazer um pedido.
2022-01-06,Pendente,ótima empresa. Você poderia nos mandar seus dados?
2022-01-23,Ignorado,Estou bem chateado. Você poderia nos mandar seus dados?
2022-01-26,Em Espera,"Nunca mais compro de vocês! Olá, como vai?"
2022-01-20,Respondido,Preciso que resolvam um problema. Você poderia nos mandar seus dados?
2022-01-06,Ignorado,Pior negócio que ja vi. Você poderia nos mandar seus dados?
2022-01-24,Pendente,"Olá, como vai? Estou bem chateado."
2022-01-24,Em Espera,Você poderia nos mandar seus dados? Gostaria de fazer um pedido.
2022-01-16,Em Espera,Estou bem chateado. ótima empresa.
2022-01-04,Aberto,Gostaria de fazer um pedido. Preciso que resolvam um problema.
2022-01-23,Ignorado,Nunca mais compro de vocês! Você poderia nos mandar seus dados?
2022-01-10,Fechado,Preciso que resolvam um problema. Você poderia nos mandar seus dados?
2022-01-11,Aberto,ótima empresa. Você poderia nos mandar seus dados?
2022-01-21,Aberto,"Você poderia nos mandar seus dados? Olá, como vai?"
2022-01-23,Aberto,Pior negócio que ja vi. Estou bem chateado.
2022-01-21,Aberto,Estou bem chateado. ótima empresa.
2022-01-30,Respondido,Nunca mais compro de vocês! Estou bem chateado.
2022-01-10,Aberto,Você poderia nos mandar seus dados? Estou bem chateado.
2022-01-26,Em Espera,Gostaria de fazer um pedido. Preciso que resolvam um problema.
2022-01-02,Fechado,Estou bem chateado. Você poderia nos mandar seus dados?
2022-01-06,Pendente,Preciso que resolvam um problema. Estou bem chateado.
2022-01-25,Aberto,ótima empresa. Estou bem chateado.
2022-01-14,Fechado,Preciso que resolvam um problema. Você poderia nos mandar seus dados?
2022-01-07,Ignorado,Gostaria de fazer um pedido. Preciso que resolvam um problema.
2022-01-28,Ignorado,ótima empresa. Preciso que resolvam um problema.
2022-01-10,Ignorado,Você poderia nos mandar seus dados? ótima empresa.
2022-01-26,Fechado,"Olá, como vai? Pior negócio que ja vi."
2022-01-21,Aberto,Preciso que resolvam um problema. Gostaria de fazer um pedido.
2022-01-22,Aberto,Nunca mais compro de vocês! Pior negócio que ja vi.
2022-01-13,Fechado,Pior negócio que ja vi. Estou bem chateado.
2022-01-06,Pendente,Pior negócio que ja vi. Preciso que resolvam um problema.
2022-01-16,Pendente,Preciso que resolvam um problema. Nunca mais compro de vocês!
2022-01-01,Pendente,Gostaria de fazer um pedido. ótima empresa.
2022-01-24,Em Espera,ótima empresa. Nunca mais compro de vocês!
2022-01-30,Respondido,Nunca mais compro de vocês! Preciso que resolvam um problema.
2022-01-23,Pendente,Estou bem chateado. Preciso que resolvam um problema.
2022-01-18,Ignorado,Estou bem chateado. Preciso que resolvam um problema.
2022-01-08,Respondido,Nunca mais compro de vocês! Preciso que resolvam um problema.
2022-01-09,Respondido,ótima empresa. Pior negócio que ja vi.
2022-01-13,Fechado,Você poderia nos mandar seus dados? Gostaria de fazer um pedido.
2022-01-21,Aberto,"Você poderia nos mandar seus dados? Olá, como vai?"
2022-01-19,Pendente,Você poderia nos mandar seus dados? Nunca mais compro de vocês!
2022-01-19,Respondido,"Olá, como vai? Você poderia nos mandar seus dados?"
2022-01-02,Respondido,Nunca mais compro de vocês! Estou bem chateado.
2022-01-29,Ignorado,Pior negócio que ja vi. Gostaria de fazer um pedido.
2022-01-11,Respondido,Pior negócio que ja vi. Gostaria de fazer um pedido.
2022-01-23,Em Espera,"Você poderia nos mandar seus dados? Olá, como vai?"
2022-01-21,Em Espera,"Olá, como vai? ótima empresa."
2022-01-28,Pendente,"Olá, como vai? Você poderia nos mandar seus dados?"
2022-01-23,Pendente,Você poderia nos mandar seus dados? Preciso que resolvam um problema.
2022-01-03,Fechado,Estou bem chateado. Nunca mais compro de vocês!
2022-01-29,Ignorado,"Gostaria de fazer um pedido. Olá, como vai?"
2022-01-24,Ignorado,Nunca mais compro de vocês! Pior negócio que ja vi.
2022-01-05,Fechado,"Gostaria de fazer um pedido. Olá, como vai?"
2022-01-12,Ignorado,Nunca mais compro de vocês! ótima empresa.
2022-01-21,Pendente,Estou bem chateado. Pior negócio que ja vi.
2022-01-20,Pendente,"ótima empresa. Olá, como vai?"
2022-01-08,Pendente,"Você poderia nos mandar seus dados? Olá, como vai?"
2022-01-26,Pendente,Preciso que resolvam um problema. Gostaria de fazer um pedido.
2022-01-27,Em Espera,"Olá, como vai? Você poderia nos mandar seus dados?"
2022-01-24,Fechado,Estou bem chateado. ótima empresa.
2022-01-19,Aberto,"Olá, como vai? Preciso que resolvam um problema."
2022-01-13,Pendente,Preciso que resolvam um problema. Gostaria de fazer um pedido.
2022-01-20,Respondido,ótima empresa. Preciso que resolvam um problema.
2022-01-22,Em Espera,ótima empresa. Nunca mais compro de vocês!
2022-01-22,Aberto,Preciso que resolvam um problema. Pior negócio que ja vi.
2022-01-10,Respondido,Preciso que resolvam um problema. Gostaria de fazer um pedido.
2022-01-24,Ignorado,"ótima empresa. Olá, como vai?"
2022-01-31,Fechado,Gostaria de fazer um pedido. Estou bem chateado.
2022-01-29,Aberto,ótima empresa. Nunca mais compro de vocês!
2022-01-15,Ignorado,"Pior negócio que ja vi. Olá, como vai?"
2022-01-07,Ignorado,Pior negócio que ja vi. Gostaria de fazer um pedido.
2022-01-23,Fechado,Você poderia nos mandar seus dados? Gostaria de fazer um pedido.
2022-01-05,Respondido,Gostaria de fazer um pedido. Nunca mais compro de vocês!
2022-01-14,Fechado,Você poderia nos mandar seus dados? Nunca mais compro de vocês!
2022-01-20,Aberto,"Olá, como vai? ótima empresa."
2022-01-04,Em Espera,"Olá, como vai? Gostaria de fazer um pedido."
2022-01-22,Ignorado,"Olá, como vai? Nunca mais compro de vocês!"
2022-01-04,Em Espera,Estou bem chateado. Preciso que resolvam um problema.
2022-01-31,Ignorado,"Olá, como vai? Estou bem chateado."
2022-01-25,Ignorado,Nunca mais compro de vocês! Gostaria de fazer um pedido.
2022-01-24,Fechado,Estou bem chateado. Preciso que resolvam um problema.
2022-01-22,Respondido,"Pior negócio que ja vi. Olá, como vai?"
2022-01-21,Respondido,Gostaria de fazer um pedido. Nunca mais compro de vocês!
2022-01-20,Respondido,"ótima empresa. Olá, como vai?"
2022-01-10,Aberto,Pior negócio que ja vi. Você poderia nos mandar seus dados?
2022-01-11,Respondido,ótima empresa. Pior negócio que ja vi.
2022-01-04,Fechado,Gostaria de fazer um pedido. Estou bem chateado.
2022-01-02,Respondido,ótima empresa. Estou bem chateado.
2022-01-12,Pendente,Você poderia nos mandar seus dados? Pior negócio que ja vi.
2022-01-02,Em Espera,Estou bem chateado. Você poderia nos mandar seus dados?
2022-01-13,Em Espera,Estou bem chateado. Preciso que resolvam um problema.
2022-01-21,Em Espera,Gostaria de fazer um pedido. Preciso que resolvam um problema.
2022-01-26,Fechado,"Olá, como vai? Preciso que resolvam um problema."
2022-01-15,Em Espera,"Olá, como vai? Pior negócio que ja vi."
2022-01-03,Ignorado,"Pior negócio que ja vi. Olá, como vai?"
2022-01-09,Respondido,Gostaria de fazer um pedido. Você poderia nos mandar seus dados?
2022-01-30,Respondido,Estou bem chateado. Você poderia nos mandar seus dados?
2022-01-31,Fechado,Gostaria de fazer um pedido. Pior negócio que ja vi.
2022-01-11,Aberto,Preciso que resolvam um problema. ótima empresa.
2022-01-17,Em Espera,Você poderia nos mandar seus dados? Gostaria de fazer um pedido.
2022-01-14,Em Espera,Estou bem chateado. Você poderia nos mandar seus dados?
2022-01-21,Em Espera,ótima empresa. Você poderia nos mandar seus dados?
2022-01-01,Aberto,Preciso que resolvam um problema. Nunca mais compro de vocês!
2022-01-14,Fechado,Pior negócio que ja vi. Você poderia nos mandar seus dados?
2022-01-18,Ignorado,"Preciso que resolvam um problema. Olá, como vai?"
2022-01-06,Aberto,Pior negócio que ja vi. Estou bem chateado.
2022-01-03,Em Espera,Estou bem chateado. Você poderia nos mandar seus dados?
2022-01-26,Respondido,"Olá, como vai? Estou bem chateado."
2022-01-16,Aberto,Preciso que resolvam um problema. ótima empresa.
2022-01-31,Pendente,Pior negócio que ja vi. ótima empresa.
2022-01-12,Pendente,Pior negócio que ja vi. Você poderia nos mandar seus dados?
2022-01-27,Respondido,ótima empresa. Gostaria de fazer um pedido.
2022-01-03,Aberto,"Olá, como vai? Estou bem chateado."
2022-01-18,Pendente,Preciso que resolvam um problema. ótima empresa.
2022-01-03,Ignorado,ótima empresa. Você poderia nos mandar seus dados?
2022-01-09,Ignorado,"Você poderia nos mandar seus dados? Olá, como vai?"
2022-01-16,Pendente,Preciso que resolvam um problema. Você poderia nos mandar seus dados?
2022-01-04,Fechado,ótima empresa. Estou bem chateado.
2022-01-07,Pendente,Preciso que resolvam um problema. ótima empresa.
2022-01-30,Aberto,Nunca mais compro de vocês! Gostaria de fazer um pedido.
2022-01-19,Pendente,ótima empresa. Gostaria de fazer um pedido.
2022-01-31,Aberto,"Nunca mais compro de vocês! Olá, como vai?"
2022-01-09,Aberto,Preciso que resolvam um problema. ótima empresa.
2022-01-18,Respondido,Preciso que resolvam um problema. Pior negócio que ja vi.
2022-01-16,Aberto,ótima empresa. Você poderia nos mandar seus dados?
2022-01-06,Respondido,Nunca mais compro de vocês! Você poderia nos mandar seus dados?
2022-01-16,Fechado,Pior negócio que ja vi. Estou bem chateado.
2022-01-01,Respondido,Estou bem chateado. Nunca mais compro de vocês!
2022-01-21,Pendente,Preciso que resolvam um problema. Estou bem chateado.
2022-01-24,Fechado,"Olá, como vai? Estou bem chateado."
2022-01-11,Aberto,Pior negócio que ja vi. Nunca mais compro de vocês!
2022-01-24,Em Espera,Nunca mais compro de vocês! Você poderia nos mandar seus dados?
2022-01-07,Pendente,Preciso que resolvam um problema. Estou bem chateado.
2022-01-05,Aberto,ótima empresa. Gostaria de fazer um pedido.
2022-01-15,Em Espera,Estou bem chateado. Preciso que resolvam um problema.
2022-01-03,Ignorado,"ótima empresa. Olá, como vai?"
2022-01-11,Em Espera,"ótima empresa. Olá, como vai?"
2022-01-07,Em Espera,Pior negócio que ja vi. Gostaria de fazer um pedido.
2022-01-27,Respondido,Você poderia nos mandar seus dados? ótima empresa.
2022-01-01,Pendente,Pior negócio que ja vi. Nunca mais compro de vocês!
2022-01-05,Pendente,Nunca mais compro de vocês! Gostaria de fazer um pedido.
2022-01-03,Em Espera,Nunca mais compro de vocês! Você poderia nos mandar seus dados?
2022-01-31,Aberto,"ótima empresa. Olá, como vai?"
2022-01-06,Ignorado,Estou bem chateado. Nunca mais compro de vocês!
2022-01-16,Aberto,Preciso que resolvam um problema. Gostaria de fazer um pedido.
2022-01-15,Ignorado,"Olá, como vai? Estou bem chateado."
2022-01-26,Aberto,Você poderia nos mandar seus dados? Estou bem chateado.
2022-01-19,Fechado,"Olá, como vai? Estou bem chateado."
2022-01-06,Fechado,Você poderia nos mandar seus dados? ótima empresa.
2022-01-02,Em Espera,ótima empresa. Pior negócio que ja vi.
2022-01-08,Em Espera,"Olá, como vai? Você poderia nos mandar seus dados?"
2022-01-15,Aberto,"Nunca mais compro de vocês! Olá, como vai?"
2022-01-13,Fechado,Gostaria de fazer um pedido. Preciso que resolvam um problema.
2022-01-30,Em Espera,Preciso que resolvam um problema. Você poderia nos mandar seus dados?
2022-01-27,Respondido,ótima empresa. Preciso que resolvam um problema.
2022-01-25,Fechado,Preciso que resolvam um problema. ótima empresa.
2022-01-10,Ignorado,"Pior negócio que ja vi. Olá, como vai?"
2022-01-08,Ignorado,Pior negócio que ja vi. Gostaria de fazer um pedido.
2022-01-08,Respondido,Estou bem chateado. ótima empresa.
2022-01-24,Ignorado,Você poderia nos mandar seus dados? ótima empresa.
2022-01-20,Fechado,Pior negócio que ja vi. ótima empresa.
2022-01-01,Em Espera,Estou bem chateado. Você poderia nos mandar seus dados?
2022-01-02,Aberto,"Olá, como vai? ótima empresa."
2022-01-20,Ignorado,Pior negócio que ja vi. Gostaria de fazer um pedido.
2022-01-29,Aberto,"Você poderia nos mandar seus dados? Olá, como vai?"
2022-01-16,Fechado,ótima empresa. Você poderia nos mandar seus dados?
2022-01-04,Ignorado,Nunca mais compro de vocês! Preciso que resolvam um problema.
2022-01-25,Respondido,Nunca mais compro de vocês! Estou bem chateado.
2022-01-02,Pendente,Você poderia nos mandar seus dados? Gostaria de fazer um pedido.
2022-01-31,Fechado,Estou bem chateado. Gostaria de fazer um pedido.
2022-01-26,Pendente,Pior negócio que ja vi. Gostaria de fazer um pedido.
2022-01-03,Em Espera,ótima empresa. Pior negócio que ja vi.
2022-01-24,Respondido,"Olá, como vai? ótima empresa."
2022-01-18,Pendente,ótima empresa. Você poderia nos mandar seus dados?
2022-01-24,Ignorado,Pior negócio que ja vi. Gostaria de fazer um pedido.
2022-01-26,Em Espera,Você poderia nos mandar seus dados? Preciso que resolvam um problema.
2022-01-05,Em Espera,Você poderia nos mandar seus dados? Estou bem chateado.
2022-01-15,Fechado,"Pior negócio que ja vi. Olá, como vai?"
2022-01-02,Respondido,Estou bem chateado. Nunca mais compro de vocês!
2022-01-04,Respondido,Nunca mais compro de vocês! Gostaria de fazer um pedido.
2022-01-29,Respondido,"Nunca mais compro de vocês! Olá, como vai?"
2022-01-10,Ignorado,Você poderia nos mandar seus dados? Preciso que resolvam um problema.
2022-01-15,Pendente,Gostaria de fazer um pedido. Nunca mais compro de vocês!
2022-01-20,Fechado,Você poderia nos mandar seus dados? ótima empresa.
2022-01-23,Em Espera,Preciso que resolvam um problema. Estou bem chateado.
2022-01-14,Ignorado,Pior negócio que ja vi. Você poderia nos mandar seus dados?
2022-01-16,Aberto,ótima empresa. Estou bem chateado.
2022-01-12,Em Espera,"Olá, como vai? Estou bem chateado."
2022-01-30,Ignorado,Preciso que resolvam um problema. Pior negócio que ja vi.
2022-01-10,Em Espera,Pior negócio que ja vi. Você poderia nos mandar seus dados?
2022-01-07,Pendente,"Pior negócio que ja vi. Olá, como vai?"
2022-01-27,Respondido,Pior negócio que ja vi. Preciso que resolvam um problema.
2022-01-21,Pendente,"Olá, como vai? ótima empresa."
2022-01-26,Respondido,"ótima empresa. Olá, como vai?"
2022-01-15,Em Espera,"ótima empresa. Olá, como vai?"
2022-01-19,Fechado,Preciso que resolvam um problema. Nunca mais compro de vocês!
2022-01-07,Em Espera,Preciso que resolvam um problema. Estou bem chateado.
2022-01-17,Ignorado,"Olá, como vai? ótima empresa."
2022-01-16,Aberto,Estou bem chateado. Você poderia nos mandar seus dados?
2022-01-25,Fechado,Nunca mais compro de vocês! Gostaria de fazer um pedido.
2022-01-10,Em Espera,Gostaria de fazer um pedido. ótima empresa.
2022-01-13,Respondido,Estou bem chateado. Pior negócio que ja vi.
2022-01-03,Pendente,Preciso que resolvam um problema. Pior negócio que ja vi.
2022-01-03,Respondido,Gostaria de fazer um pedido. Nunca mais compro de vocês!
2022-01-19,Ignorado,ótima empresa. Estou bem chateado.
2022-01-16,Em Espera,Preciso que resolvam um problema. ótima empresa.
2022-01-28,Pendente,Nunca mais compro de vocês! Pior negócio que ja vi.
2022-01-15,Pendente,ótima empresa. Nunca mais compro de vocês!
2022-01-27,Aberto,Você poderia nos mandar seus dados? ótima empresa.
2022-01-30,Ignorado,Gostaria de fazer um pedido. Preciso que resolvam um problema.
2022-01-30,Respondido,"Olá, como vai? Preciso que resolvam um problema."
